player,player_id,team,season,age,attempts,completion_pct,yards_per_attempt,td_rate,int_rate,passer_rating,any_a,archetype,cluster
Sam Darnold,DarnSa00,CAR,2021,24.0,406.0,59.9,6.2,2.2,3.2,71.9,4.35,Struggling & Backups,1
Trevor Lawrence,LawrTr00,JAX,2021,22.0,602.0,59.6,6.0,2.0,2.8,71.9,4.54,Struggling & Backups,1
Tyler Huntley,HuntTy01,BAL,2021,23.0,188.0,64.9,5.8,1.6,2.1,76.6,4.15,Struggling & Backups,1
Tyrod Taylor,TaylTy00,HOU,2021,32.0,150.0,60.7,6.4,3.3,3.3,76.7,4.43,Struggling & Backups,1
Zach Wilson,WilsZa00,NYJ,2021,22.0,383.0,55.6,6.1,2.3,2.9,69.7,3.86,Struggling & Backups,1
Ben Roethlisberger,RoetBe00,PIT,2021,39.0,605.0,64.5,6.2,3.6,1.7,86.8,5.43,The League Core,0
Carson Wentz,WentCa00,IND,2021,29.0,516.0,62.4,6.9,5.2,1.4,94.6,6.5,The League Core,0
Daniel Jones,JoneDa05,NYG,2021,24.0,361.0,64.3,6.7,2.8,1.9,84.8,5.62,The League Core,0
Davis Mills,MillDa02,HOU,2021,23.0,394.0,66.8,6.8,4.1,2.5,88.8,5.48,The League Core,0
Derek Carr,CarrDe02,LVR,2021,30.0,626.0,68.4,7.7,3.7,2.2,94.0,6.6,The League Core,0
Jalen Hurts,HurtJa00,PHI,2021,23.0,432.0,61.3,7.3,3.7,2.1,87.2,6.35,The League Core,0
Jared Goff,GoffJa00,DET,2021,27.0,494.0,67.2,6.6,3.8,1.6,91.5,5.64,The League Core,0
Josh Allen,AlleJo02,BUF,2021,25.0,646.0,63.3,6.8,5.6,2.3,92.2,6.38,The League Core,0
Lamar Jackson,JackLa00,BAL,2021,24.0,382.0,64.4,7.5,4.2,3.4,87.0,5.78,The League Core,0
Mac Jones,JoneMa05,NWE,2021,23.0,521.0,67.6,7.3,4.2,2.5,92.5,6.22,The League Core,0
Matt Ryan,RyanMa00,ATL,2021,36.0,560.0,67.0,7.1,3.6,2.1,90.4,5.92,The League Core,0
Ryan Tannehill,TannRy00,TEN,2021,33.0,531.0,67.2,7.0,4.0,2.6,89.6,5.53,The League Core,0
Taylor Heinicke,HeinTa00,WAS,2021,28.0,494.0,65.0,6.9,4.0,3.0,85.9,5.39,The League Core,0
Teddy Bridgewater,BridTe00,DEN,2021,29.0,426.0,66.9,7.2,4.2,1.6,94.9,6.32,The League Core,0
Trevor Siemian,SiemTr00,NOR,2021,30.0,188.0,57.4,6.1,5.9,1.6,88.4,5.96,The League Core,0
Tua Tagovailoa,TagoTu00,MIA,2021,23.0,388.0,67.8,6.8,4.1,2.6,90.1,5.81,The League Core,0
Andy Dalton,DaltAn00,NOR,2022,35.0,378.0,66.7,7.6,4.8,2.4,95.2,6.54,Elite Quarterbacks,2
Brock Purdy,PurdBr00,SFO,2022,23.0,170.0,67.1,8.1,7.6,2.4,107.3,7.57,Elite Quarterbacks,2
Dak Prescott,PresDa01,DAL,2022,29.0,394.0,66.2,7.3,5.8,3.8,91.1,6.08,Elite Quarterbacks,2
Geno Smith,SmitGe00,SEA,2022,32.0,572.0,69.8,7.5,5.2,1.9,100.9,6.54,Elite Quarterbacks,2
Jalen Hurts,HurtJa00,PHI,2022,24.0,460.0,66.5,8.0,4.8,1.3,101.5,7.31,Elite Quarterbacks,2
Jared Goff,GoffJa00,DET,2022,28.0,587.0,65.1,7.6,4.9,1.2,99.3,7.45,Elite Quarterbacks,2
Jimmy Garoppolo,GaroJi00,SFO,2022,31.0,308.0,67.2,7.9,5.2,1.3,103.0,7.6,Elite Quarterbacks,2
Joe Burrow,BurrJo01,CIN,2022,26.0,606.0,68.3,7.4,5.8,2.0,100.8,6.76,Elite Quarterbacks,2
Josh Allen,AlleJo02,BUF,2022,26.0,567.0,63.3,7.6,6.2,2.5,96.6,6.99,Elite Quarterbacks,2
Patrick Mahomes,MahoPa00,KAN,2022,27.0,648.0,67.1,8.1,6.3,1.9,105.2,7.93,Elite Quarterbacks,2
Tua Tagovailoa,TagoTu00,MIA,2022,24.0,400.0,64.8,8.9,6.3,2.0,105.5,8.37,Elite Quarterbacks,2
Baker Mayfield,MayfBa00,2TM,2022,27.0,335.0,60.0,6.5,3.0,2.4,79.0,4.81,Struggling & Backups,1
Carson Wentz,WentCa00,WAS,2022,30.0,276.0,62.3,6.4,4.0,3.3,80.2,4.67,Struggling & Backups,1
Cooper Rush,RushCo00,DAL,2022,29.0,162.0,58.0,6.5,3.1,1.9,80.0,5.72,Struggling & Backups,1
Davis Mills,MillDa02,HOU,2022,24.0,479.0,61.0,6.5,3.5,3.1,78.8,4.98,Struggling & Backups,1
Deshaun Watson,WatsDe00,CLE,2022,27.0,170.0,58.2,6.5,4.1,2.9,79.1,4.79,Struggling & Backups,1
Joe Flacco,FlacJo00,NYJ,2022,37.0,191.0,57.6,5.5,2.6,1.6,75.2,4.73,Struggling & Backups,1
Justin Fields,FielJu00,CHI,2022,23.0,318.0,60.4,7.1,5.3,3.5,85.2,4.63,Struggling & Backups,1
Kenny Pickett,PickKe00,PIT,2022,24.0,389.0,63.0,6.2,1.8,2.3,76.7,4.7,Struggling & Backups,1
Mike White,WhitMi01,NYJ,2022,27.0,175.0,58.9,6.8,1.7,2.3,75.7,5.41,Struggling & Backups,1
Zach Wilson,WilsZa00,NYJ,2022,23.0,242.0,54.5,7.0,2.5,2.9,72.8,4.97,Struggling & Backups,1
