name,position,debut,last
Reggie McElroy,Tackle,1983,1996
Vann McElroy,Defensive Back,1982,1990
Bill McElwain,Back,1924,1926
Jason McEndoo,Center,1998,1998
Doug McEnulty,Fullback,1943,1944
Ed McEvoy,Wingback,1926,1926
Tanner McEvoy,Wide Receiver,2016,2018
Craig McEwen,Tight End,1987,1991
Banks McFadden,Halfback,1940,1940
Bryant McFadden,Defensive Back,2005,2011
Darren McFadden,Running back,2008,2017
Jordan McFadden,Offensive Lineman,2023,2024
Kimario McFadden,Safety,2015,2015
Leon McFadden,Cornerback,2013,2016
Marques McFadden,Guard,2002,2002
Marshall McFadden,Linebacker,2012,2014
Marv McFadden,Guard,1953,1956
Micah McFadden,Linebacker,2022,2024
Paul McFadden,Kicker,1984,1989
Thad McFadden,Wide Receiver,1987,1987
Walter McFadden,Defensive Back,2010,2010
Bud McFadin,Defensive Tackle,1952,1965
Anthony McFarland,Defensive Tackle,1999,2006
Anthony McFarland Jr.,Running back,2020,2023
Dylan McFarland,Tackle,2004,2005
Jim McFarland,Tight End,1970,1975
Kay McFarland,Wide Receiver,1962,1968
Nyle McFarlane,Halfback,1960,1960
Chris McFoy,Wide Receiver,2007,2007
Willis McGahee,Running back,2004,2013
Tim McGarigle,Linebacker,2007,2007
Wane McGarity,Wide Receiver,1999,2001
Scott McGarrahan,Defensive Back,1998,2005
Barney McGarry,Guard,1939,1942
John McGarry,Guard,1987,1987
Kaleb McGary,Right Tackle,2019,2024
Walt McGaw,Guard,1926,1926
Clarence McGeary,Defensive Tackle,1950,1950
Ben McGee,Defensive End,1964,1972
Bob McGee,Tackle,1938,1938
Brandon McGee,Cornerback,2013,2015
Buford McGee,Running back,1984,1992
Carl McGee,Linebacker,1980,1980
Dell McGee,Defensive Back,1998,1998
Ed McGee,Tackle,1940,1946
George McGee,Tackle,1960,1960
Harry McGee,Center,1927,1932
Max McGee,End,1954,1967
Mike McGee,Guard,1960,1962
Molly McGee,Running back,1974,1974
Richmond McGee,Punter,2011,2011
Stacy McGee,Defensive Tackle,2013,2020
Stephen McGee,Quarterback,2010,2011
Terrence McGee,Defensive Back,2003,2012
Tim McGee,Wide Receiver,1986,1994
Tony McGee,Defensive End,1971,1984
Tony McGee,Tight End,1993,2003
Willie McGee,Wide Receiver,1973,1978
John McGeever,Defensive Back,1962,1966
Phil McGeoghan,Wide Receiver,2001,2001
Rich McGeorge,Tight End,1970,1978
Kanavis McGhee,Outside Linebacker,1991,1995
Garrett McGhin,Tackle,2019,2019
Charlie McGibbony,Tailback,1944,1944
Firpo McGilbra,Tackle,1926,1926
Eddie McGill,Tight End,1982,1983
George McGill,Guard,1922,1922
Karmeeleyah McGill,Linebacker,1993,1993
Keith McGill,Cornerback,2014,2017
Lenny McGill,Defensive Back,1994,1998
Mike McGill,Linebacker,1968,1972
Ralph McGill,Defensive Back,1972,1979
T.Y. McGill,Defensive Tackle,2015,2024
Willie McGinest,Defensive End,1994,2008
Ed McGinley,Tackle,1925,1925
Larry McGinnis,Guard,1923,1924
Len McGirl,Guard,1934,1934
Ed McGlasson,Center,1979,1981
Mike McGlinchey,Offensive Tackle,2018,2024
Chester McGlockton,Defensive Tackle,1992,2003
Matt McGloin,Quarterback,2013,2016
Joe McGlone,Blocking Back,1926,1926
Dwight McGlothern,Defensive Back,2024,2024
Mike McGlynn,Guard,2008,2015
Hugh McGoldrick,Tackle,1925,1925
Bruce McGonnigal,Tight End,1991,1991
Connor McGovern,Offensive Guard,2017,2024
Connor McGovern,Guard,2020,2024
Rob McGovern,Linebacker,1989,1992
Brandon McGowan,Defensive Back,2005,2009
Kyric McGowan,Wide Receiver,2022,2022
Reggie McGowan,Wide Receiver,1987,1987
Joe McGrail,Nose Tackle,1987,1987
Brian McGrath,Guard,1922,1922
Dick McGrath,Center,1926,1926
Frank McGrath,End,1927,1928
Mark McGrath,Wide Receiver,1981,1985
Sean McGrath,Tight End,2012,2017
Jon McGraw,Defensive Back,2002,2011
Mike McGraw,Linebacker,1976,1977
Thurman McGraw,Defensive Tackle,1950,1954
Braiden McGregor,Defensive End,2024,2024
Keli McGregor,Tight End,1985,1985
Dan McGrew,Center,1960,1960
Larry McGrew,Linebacker,1980,1990
Reggie McGrew,Defensive Tackle,2000,2002
Sylvester McGrew,Defensive End,1987,1987
Curtis McGriff,Defensive End,1980,1987
Lee McGriff,Wide Receiver,1976,1976
Travis McGriff,Wide Receiver,1999,2001
Tyrone McGriff,Guard,1980,1982
Lamar McGriggs,Defensive Back,1991,1994
Cameron McGrone,Linebacker,2022,2024
Dusty McGrorty,Running back,2004,2004
Michael McGruder,Defensive Back,1989,1997
Elijah McGuire,Running back,2017,2018
Gene McGuire,Center,1993,1996
Isaiah McGuire,Defensive Lineman,2023,2024
Kaipo McGuire,Wide Receiver,1997,1998
Monte McGuire,Quarterback,1987,1987
Warren McGuirk,Tackle,1929,1930
Dan McGwire,Quarterback,1991,1995
Joe McHale,Linebacker,1987,1987
Tom McHale,Guard,1987,1995
Lamar McHan,Quarterback,1954,1963
Pat McHugh,Defensive Back,1947,1951
Sean McHugh,Fullback,2004,2008
Danny McIlhany,Defensive Back,1965,1965
Don McIlhenny,Halfback,1956,1961
Wally McIlwain,Wingback,1926,1926
Pat McInally,Wide Receiver,1976,1985
Mac McIndoe,End,1921,1921
Nick McInerney,Center,1920,1927
Sean McInerney,Defensive End,1987,1987
Hugh McInnis,Tight End,1960,1964
Al McIntosh,Wingback,1925,1926
Chris McIntosh,Tackle,2000,2001
Damion McIntosh,Tackle,2000,2009
Joe McIntosh,Running back,1987,1987
Kenny McIntosh,Running back,2023,2024
R.J. McIntosh,Defensive Tackle,2018,2019
Rocky McIntosh,Linebacker,2006,2013
Toddrick McIntosh,Defensive End,1994,1995
Corey McIntyre,Fullback,2005,2012
Garrett McIntyre,Linebacker,2011,2013
Guy McIntyre,Guard,1984,1996
Jeff McIntyre,Linebacker,1979,1980
Secdrick McIntyre,Running back,1977,1977
Everett McIver,Guard,1994,1999
Rick McIvor,Quarterback,1984,1985
Paul McJulien,Punter,1991,1993
Bill McKalip,End,1931,1936
Bob McKay,Tackle,1970,1978
John McKay,Wide Receiver,1976,1978
Roy McKay,Tailback,1944,1947
Paul McKee,End,1947,1948
Tanner McKee,Quarterback,2024,2024
James McKeehan,Tight End,1996,1997
Marlin McKeever,Linebacker,1961,1973
Vito McKeever,Defensive Back,1986,1987
Keith McKeller,Tight End,1987,1993
Leodis McKelvin,Defensive Back,2008,2016
Chris McKenzie,Defensive Back,2005,2005
Isaiah McKenzie,Wide Receiver,2017,2023
Kahlil McKenzie,Defensive Tackle,2020,2021
Kareem McKenzie,Tackle,2001,2011
Keith McKenzie,Defensive End,1996,2003
Kevin McKenzie,Wide Receiver,1999,1999
Mike McKenzie,Defensive Back,1999,2009
Raleigh McKenzie,Guard,1985,2000
Reggie McKenzie,Guard,1972,1984
Reggie McKenzie,Linebacker,1985,1992
Rich McKenzie,Linebacker,1995,1995
Tyrone McKenzie,Linebacker,2010,2012
Sean McKeon,Tight End,2020,2023
Jack McKetes,Blocking Back,1926,1926
Marcus McKethan,Offensive Lineman,2023,2023
Mike McKibben,Linebacker,1979,1980
Jason McKie,Fullback,2002,2009
Scott McKillop,Linebacker,2009,2009
Alvin McKinley,Defensive End,2000,2007
Bill McKinley,Defensive End,1971,1971
Dennis McKinley,Fullback,1999,2002
Kenny McKinley,Wide Receiver,2009,2009
Takkarist McKinley,Outside Linebacker,2017,2024
Verone McKinley,Cornerback,2022,2022
Phil McKinnely,Tackle,1976,1982
Benardrick McKinney,Inside Linebacker,2015,2021
Bill McKinney,Linebacker,1972,1972
Brandon McKinney,Defensive Tackle,2006,2011
Jeremy McKinney,Guard,2001,2002
Odis McKinney,Defensive Back,1978,1986
Royce McKinney,Defensive Back,1975,1975
Seth McKinney,Center,2002,2009
Steve McKinney,Center,1998,2007
Xavier McKinney,Safety,2020,2024
Zion McKinney,Wide Receiver,1980,1980
Bryant McKinnie,Tackle,2002,2013
Hugh McKinnis,Running back,1973,1976
Dennis McKinnon,Wide Receiver,1983,1990
Don McKinnon,Linebacker,1963,1964
Jeremiah McKinnon,Defensive Back,2018,2018
Jerick McKinnon,Running back,2014,2023
Ronald McKinnon,Linebacker,1996,2005
Aid McKinstry,Defensive Back,2024,2024
Cassanova McKinzy,Linebacker,2018,2019
Dick McKissack,Defensive Back,1952,1952
J.D. McKissic,Wide Receiver,2016,2022
McKitty,Tight End,2021,2023
Colton McKivitz,Offensive Lineman,2020,2024
Dennis McKnight,Guard,1982,1992
James McKnight,Wide Receiver,1994,2003
Joe McKnight,Running back,2010,2014
Ted McKnight,Running back,1977,1982
Bill McKoy,Linebacker,1970,1974
Tim McKyer,Defensive Back,1986,1997
Tanner McLachlan,Tight End,2024,2024
Joe McLain,Tackle,1928,1928
Kevin McLain,Linebacker,1976,1979
Mayes McLain,Fullback,1930,1931
Charlie McLaughlin,Tailback,1934,1934
Chase McLaughlin,Kicker,2019,2024
Jaleel McLaughlin,Running back,2023,2024
Joe McLaughlin,Linebacker,1979,1984
John McLaughlin,Defensive End,1999,2000
Lee McLaughlin,Guard,1941,1941
Leon McLaughlin,Center,1951,1955
Steve McLaughlin,Kicker,1995,1995
Tom McLaughlin,Fullback,1921,1921
John McLaughry,Blocking Back,1940,1940
Terry McLaurin,Wide Receiver,2019,2024
Ray McLean,Fullback,1921,1921
Ray McLean,Halfback,1940,1947
Ron McLean,Nose Tackle,1987,1988
Scott McLean,Linebacker,1983,1983
Chris McLemore,Running back,1987,1988
Dana McLemore,Defensive Back,1982,1987
Emmett McLemore,Blocking Back,1923,1924
Thomas McLemore,Tight End,1992,1995
Steve McLendon,Defensive Tackle,2010,2021
TK McLendon,Defensive Lineman,2023,2023
Bruce McLenna,Halfback,1966,1966
Bob McLeod,Tight End,1961,1966
Kevin McLeod,Fullback,1999,2003
Mike McLeod,Defensive Back,1984,1985
Rodney McLeod,Safety,2012,2024
Russ McLeod,Center,1934,1934
Harold McLinton,Linebacker,1969,1978
Art McMahon,Defensive Back,1968,1972
Dylan McMahon,Offensive Lineman,2024,2024
Harry McMahon,Blocking Back,1926,1926
Jim McMahon,Quarterback,1982,1996
Mike McMahon,Quarterback,2001,2005
Tommy McMahon,Halfback,1921,1921
John McMakin,Tight End,1972,1976
Sherrick McManis,Defensive Back,2010,2020
Wynton McManis,Linebacker,2016,2021
Brandon McManus,Kicker,2014,2024
Tom McManus,Linebacker,1995,1999
Herb McMath,Defensive Tackle,1976,1977
Racey McMath,Wide Receiver,2021,2022
Randy McMichael,Tight End,2002,2012
Steve McMichael+,Defensive Tackle,1980,1994
John McMichaels,Tailback,1944,1944
Chuck McMillan,Defensive Back,1954,1954
David McMillan,Defensive End,2005,2007
Eddie McMillan,Defensive Back,1973,1978
Erik McMillan,Defensive Back,1988,1993
Ernie McMillan,Tackle,1961,1975
Jalen McMillan,Wide Receiver,2024,2024
Raekwon McMillan,Inside Linebacker,2018,2024
Randy McMillan,Running back,1981,1986
Dan McMillen,Defensive End,1987,1987
Jim McMillen,Guard,1924,1928
Audray McMillian,Defensive Back,1985,1993
Henry McMillian,Defensive Tackle,1995,1996
Quan McMillian,Defensive Back,2022,2024
Jerron McMillian,Strong Safety,2012,2013
Mark McMillian,Defensive Back,1992,1999
Bo McMillin,Back,1922,1923
Jim McMillin,Defensive Back,1961,1965
Todd McMillon,Defensive Back,2000,2004
Patrick McMorris,Defensive Back,2024,2024
John McMullan,Guard,1960,1961
Billy McMullen,Wide Receiver,2003,2008
Danny McMullen,Guard,1929,1932
Kirk McMullen,Tight End,2001,2001
Chuck McMurtry,Defensive Tackle,1960,1963
Greg McMurtry,Wide Receiver,1990,1994
Dexter McNabb,Fullback,1992,1995
Donovan McNabb,Quarterback,1999,2011
Steve McNair,Quarterback,1995,2007
Todd McNair,Running back,1989,1996
Frank McNally,Center,1931,1934
Bob McNamara,Defensive Back,1960,1961
Ed McNamara,Tackle,1945,1945
Tom McNamara,Guard,1923,1926
Sean McNanie,Defensive End,1984,1990
Josh McNary,Linebacker,2013,2016
Don McNeal,Defensive Back,1980,1989
Reggie McNeal,Quarterback,2006,2006
Travis McNeal,Tight End,1989,1993
Charlie McNeil,Defensive Back,1960,1964
Clifton McNeil,Wide Receiver,1964,1973
Emanuel McNeil,Nose Tackle,1989,1990
Frank McNeil,End,1932,1932
Freeman McNeil,Running back,1981,1992
Gerald McNeil,Wide Receiver,1986,1990
Pat McNeil,Running back,1976,1977
Ryan McNeil,Defensive Back,1993,2003
Alim McNeill,Defensive Tackle,2021,2024
Fred McNeill,Linebacker,1974,1985
Marcus McNeill,Tackle,2006,2011
Mike McNeill,Tight End,2011,2013
Rod McNeill,Running back,1974,1976
Tom McNeill,Punter,1967,1973
Bill McNelis,Wingback,1927,1927
Jeremy McNichols,Running back,2017,2024
Bruce McNorton,Defensive Back,1982,1990
Cade McNown,Quarterback,1999,2000
Paul McNulty,End,1924,1925
Marvin McNutt,Wide Receiver,2012,2013
Bill McPeak,Defensive End,1949,1957
Buck McPhail,Fullback,1953,1953
Hal McPhail,Fullback,1934,1935
Jerris McPhail,Running back,1996,1998
Zech McPhearson,Defensive Back,2021,2022
Frank McPhee,Defensive Back,1955,1955
Pernell McPhee,Defensive Lineman,2011,2021
Evan McPherson,Kicker,2021,2024
Forrest McPherson,Guard,1935,1945
Miles McPherson,Defensive Back,1982,1985
Johnny McQuade,Back,1922,1922
Dan McQuaid,Tackle,1985,1988
Jake McQuaide,Long Snapper,2011,2024
Ed McQuarters,Defensive Tackle,1965,1965
R.W. McQuarters,Defensive Back,1998,2008
Jack McQuary,Halfback,1946,1946
Leon McQuay,Running back,1974,1976
Leon McQuay,Safety,2017,2017
Kim McQuilken,Quarterback,1974,1979
Pat McQuistan,Tackle,2006,2012
Paul McQuistan,Tackle,2006,2014
Bennie McRae,Defensive Back,1962,1971
Charles McRae,Tackle,1991,1996
Frank McRae,Defensive Tackle,1967,1967
Jerrold McRae,Wide Receiver,1978,1979
Tony McRae,Cornerback,2017,2020
Gerald McRath,Linebacker,2009,2011
Bill McRaven,Wingback,1939,1939
Bob McRoberts,Halfback,1944,1944
Paul McRoberts,Wide Receiver,2016,2016
Wade McRoberts,Center,1925,1926
Charles McShane,Linebacker,1977,1979
Joe McShea,Guard,1923,1923
Trace McSorley,Quarterback,2019,2022
Chuck McSwain,Running back,1983,1987
Rod McSwain,Defensive Back,1984,1990
Tim McTyer,Defensive Back,1997,1999
Torry McTyer,Cornerback,2017,2021
Warren McVea,Running back,1968,1973
John McVeigh,Linebacker,1987,1987
Bill McWatters,Fullback,1964,1964
Bill McWilliams,Wingback,1934,1934
Johnny McWilliams,Tight End,1996,2000
Shorty McWilliams,Defensive Back,1949,1950
Robert Meachem,Wide Receiver,2008,2014
Jack Mead,End,1946,1947
Jim Meade,Halfback,1939,1940
Mike Meade,Running back,1982,1985
Eddie Meador,Defensive Back,1959,1970
Nate Meadors,Defensive Back,2019,2020
Ralph Meadow,End,1920,1920
Adam Meadows,Tackle,1997,2006
Darryl Meadows,Defensive Back,1983,1984
Ed Meadows,Defensive End,1954,1959
Johnny Meads,Linebacker,1984,1992
Jack Meagher,End,1920,1920
Rondell Mealey,Running back,2001,2002
Tim Meamber,Linebacker,1985,1985
Montrel Meander,Cornerback,2020,2020
Bub Means,Wide Receiver,2024,2024
Dave Means,Defensive End,1974,1974
Natrone Means,Running back,1993,2000
Steven Means,Defensive End,2013,2022
Brandon Mebane,Defensive Tackle,2007,2019
Curt Mecham,Tailback,1942,1942
Karl Mecklenburg,Linebacker,1983,1994
Jamie Meder,Defensive Tackle,2014,2019
Dan Medlin,Guard,1974,1979
Richard Medlin,Running back,2011,2011
Justin Medlock,Kicker,2007,2012
Ron Medved,Defensive Back,1966,1970
Greg Meehan,Wide Receiver,1987,1987
Butch Meeker,Back,1930,1931
Bob Meeks,Center,1993,1993
Bryant Meeks,Center,1947,1948
Eddie Meeks,Wingback,1922,1922
Jonathan Meeks,Safety,2013,2016
Quenton Meeks,Cornerback,2018,2020
Ward Meese,End,1922,1925
Brad Meester,Center,2000,2013
Dave Meggett,Running back,1989,1998
Dave Meggyesy,Linebacker,1963,1969
Marc Megna,Linebacker,2000,2000
Charley Mehelich,Defensive End,1946,1951
Tony Mehelich,Guard,1929,1929
Lance Mehl,Linebacker,1980,1987
Taylor Mehlhaff,Kicker,2008,2008
Harry Mehre,Center,1922,1923
Pete Mehringer,Tackle,1934,1936
Carson Meier,Tight End,2019,2019
Kerry Meier,Wide Receiver,2011,2011
Rob Meier,Defensive End,2000,2008
Shad Meier,Tight End,2001,2005
Steve Meilinger,End,1956,1961
Dale Meinert,Linebacker,1958,1967
Quinn Meinerz,Center,2021,2024
George Meinhardt,Center,1923,1923
Darrel Meisenheimer,Defensive Back,1951,1951
Bill Meisner,Wingback,1921,1921
Greg Meisner,Nose Tackle,1981,1991
Ed Meixler,Linebacker,1965,1965
Patrick Mekari,Guard,2019,2024
Jon Melander,Guard,1991,1994
Ifeatu Melifonwu,Defensive Back,2021,2024
Obi Melifonwu,Strong Safety,2017,2018
Mike Melinkovich,Defensive End,1965,1967
Jim Melka,Linebacker,1987,1987
John Mellekas,Center,1956,1963
Jim Mello,Defensive Back,1947,1949
Dutch Mellody,Wingback,1920,1920
John Mellus,Tackle,1938,1949
Andrew Melontree,Linebacker,1980,1980
Bo Melton,Wide Receiver,2023,2024
Henry Melton,Defensive End,2010,2015
Max Melton,Defensive Back,2024,2024
Terrence Melton,Linebacker,2004,2006
Dan Melville,Punter,1979,1979
Rashaan Melvin,Cornerback,2014,2021
Tom Melvin,End,1921,1921
Dale Memmelaar,Guard,1959,1967
Don Menasco,Defensive Back,1952,1954
John Mendenhall,Defensive Tackle,1972,1980
Ken Mendenhall,Center,1971,1980
Mat Mendenhall,Defensive End,1981,1982
Rashard Mendenhall,Running back,2008,2013
Terry Mendenhall,Linebacker,1971,1972
Mario Mendez,Halfback,1964,1964
Ruben Mendoza,Guard,1986,1986
Pep Menefee,Wide Receiver,1966,1966
Vic Menefee,End,1921,1921
Chuck Mercein,Running back,1965,1970
Giradie Mercer,Defensive Tackle,2002,2002
Ken Mercer,Back,1927,1929
Mike Mercer,Kicker,1961,1970
Whitney Mercilus,Defensive End,2012,2021
Cameron Meredith,Wide Receiver,2015,2018
Don Meredith,Quarterback,1960,1968
Dudley Meredith,Defensive Tackle,1963,1968
Jamon Meredith,Tackle,2009,2015
Jordan Meredith,Offensive Lineman,2022,2024
Russell Meredith,Tackle,1923,1925
Mike Mergen,Tackle,1952,1952
Art Mergenthal,Guard,1945,1946
Lou Merillat,End,1925,1925
Brandon Meriweather,Defensive Back,2007,2015
Monte Merkel,Guard,1943,1943
Guido Merkens,Wide Receiver,1978,1987
Ed Merkle,Guard,1944,1944
Elmer Merkovsky,Guard,1944,1946
Ed Merlin,Guard,1938,1939
Phillip Merling,Defensive End,2008,2013
Jim Merlo,Linebacker,1973,1979
Casey Merrill,Defensive End,1979,1986
Forrest Merrill,Defensive Lineman,2021,2021
Mark Merrill,Outside Linebacker,1978,1984
Than Merrill,Defensive Back,2001,2001
Walt Merrill,Tackle,1940,1942
Sam Merriman,Outside Linebacker,1983,1987
Shawne Merriman,Outside Linebacker,2005,2012
Ahmad Merritt,Wide Receiver,2001,2003
David Merritt,Linebacker,1993,1995
Kirk Merritt,Wide Receiver,2020,2023
Jim Merritts,Defensive End,1987,1987
Kaevon Merriweather,Defensive Back,2023,2024
Mike Merriweather,Linebacker,1982,1993
Jeff Merrow,Defensive End,1975,1983
Scott Mersereau,Defensive Tackle,1987,1993
Jerry Mertens,Defensive Back,1958,1965
Jim Mertens,Tight End,1969,1969
Bus Mertes,Back,1945,1949
Aaron Merz,Guard,2006,2006
Curt Merz,Guard,1962,1968
Dick Mesak,Tackle,1945,1945
Mark Meseroll,Tackle,1978,1978
Zoltan Mesko,Punter,2010,2013
Bruce Mesner,Nose Tackle,1987,1987
Dale Messer,Halfback,1961,1965
Mark Messner,Linebacker,1989,1989
Max Messner,Linebacker,1960,1965
Frank Mestnik,Fullback,1960,1963
Bo Metcalf,Defensive Back,1984,1984
D.K. Metcalf,Wide Receiver,2019,2024
Eric Metcalf,Running back,1989,2002
Terrence Metcalf,Guard,2002,2008
Terry Metcalf,Running back,1973,1981
John Metchie,Wide Receiver,2023,2024
Josh Metellus,Safety,2020,2024
Russ Method,Back,1923,1929
Zach Mettenberger,Quarterback,2014,2015
Pete Metzelaars,Tight End,1982,1997
Lou Metzger,Fullback,1926,1926
Kevin Meuth,Tackle,1987,1987
Jack Mewhort,Offensive Tackle,2014,2017
Dennis Meyer,Defensive Back,1973,1973
Eddie Meyer,Tackle,1960,1960
Ernie Meyer,Guard,1930,1930
Fred Meyer,End,1942,1945
Gil Meyer,End,1947,1947
Jim Meyer,Tackle,1987,1987
John Meyer,Linebacker,1966,1966
Ron Meyer,Quarterback,1966,1966
Bob Meyers,Halfback,1952,1952
Jakobi Meyers,Wide Receiver,2019,2024
Jerry Meyers,Defensive End,1976,1980
John Meyers,Defensive Tackle,1962,1967
Klinks Meyers,Blocking Back,1920,1920
Paul Meyers,End,1921,1923
Wayne Meylan,Linebacker,1968,1970
Larry Mialik,Tight End,1972,1976
Rich Miano,Defensive Back,1985,1995
Phil Micech,Defensive End,1987,1987
Bill Michael,Guard,1957,1957
Christine Michael,Running back,2013,2018
Rich Michael,Tackle,1960,1966
Al Michaels,Tailback,1923,1925
Eddie Michaels,Guard,1936,1946
Lou Michaels,Defensive End,1958,1971
Walt Michaels,Linebacker,1951,1963
Art Michalik,Middle Guard,1953,1956
Mike Michalske+,Guard,1927,1937
Marken Michel,Wide Receiver,2020,2020
Mike Michel,Punter,1977,1978
Sony Michel,Running back,2018,2022
Tom Michel,Halfback,1964,1964
John Michels,Guard,1953,1953
John Michels,Tackle,1996,1997
Bobby Micho,Tight End,1984,1987
Mike Micka,Fullback,1944,1948
Jeff Mickel,Tackle,1990,1990
Darren Mickell,Defensive End,1992,2001
Arnold Mickens,Running back,1996,1996
Jaydon Mickens,Wide Receiver,2017,2021
Ray Mickens,Defensive Back,1996,2006
Terry Mickens,Wide Receiver,1994,1999
Joey Mickey,Tight End,1993,1993
Joe Mickles,Running back,1989,1990
Dave Middendorf,Guard,1968,1970
Oren Middlebrook,Wide Receiver,1978,1978
Willie Middlebrooks,Defensive Back,2001,2005
Brandon Middleton,Wide Receiver,2007,2008
Dave Middleton,End,1955,1961
Doug Middleton,Safety,2016,2020
Frank Middleton,Running back,1984,1987
Frank Middleton,Guard,1997,2004
Kelvin Middleton,Defensive Back,1987,1987
Rick Middleton,Linebacker,1974,1978
Ron Middleton,Tight End,1986,1995
Terdell Middleton,Running back,1977,1983
William Middleton,Defensive Back,2009,2012
Lou Midler,Guard,1939,1940
Saul Mielziner,Center,1929,1934
Ed Mieszkowski,Tackle,1946,1947
Paul Migliazzo,Linebacker,1987,1987
Lou Mihajlovich,Defensive End,1948,1954
Joe Mihal,Tackle,1940,1947
Brian Mihalik,Defensive End,2017,2018
Bob Mike,Tackle,1948,1949
Mayer,Kicker,1973,1982
Mayer,Kicker,1975,1980
Quintin Mikell,Defensive Back,2003,2013
Russ Mikeska,Tight End,1979,1982
Andy Miketa,Center,1954,1955
Bill Miklich,Linebacker,1947,1948
Ron Mikolajczyk,Tackle,1976,1979
Pete Mikolajewski,Quarterback,1969,1969
Doug Mikolas,Nose Tackle,1987,1988
Tom Mikula,Fullback,1948,1948
Mike Mikulak,Back,1934,1936
Barnes Milam,Guard,1934,1934
Joe Milam,Guard,1925,1925
Don Milan,Quarterback,1975,1975
Archie Milano,End,1945,1945
Matt Milano,Outside Linebacker,2017,2024
Scott Milanovich,Quarterback,1996,1996
Darryl Milburn,Defensive End,1991,1991
Glyn Milburn,Running back,1993,2001
Jack Mildren,Defensive Back,1972,1974
John Milem,Defensive End,2000,2001
Buck Miles,Fullback,1920,1920
Eddie Miles,Linebacker,1990,1990
Edmond Miles,Linebacker,2007,2008
Jeromy Miles,Defensive Back,2010,2014
Joshua Miles,Offensive Tackle,2019,2024
Leo Miles,Defensive Back,1953,1953
Ostell Miles,Running back,1992,1993
Rontez Miles,Free Safety,2013,2019
Itula Mili,Tight End,1998,2006
Joe Milinichik,Guard,1987,1994
John Milks,Linebacker,1966,1966
Bryan Millard,Guard,1984,1991
Keith Millard,Defensive Tackle,1985,1993
Hugh Millen,Quarterback,1987,1995
Matt Millen,Linebacker,1980,1991
Al Miller,Wingback,1929,1929
Al Miller,Linebacker,1962,1963
Alan Miller,Fullback,1960,1965
Anthony Miller,Wide Receiver,1988,1997
Anthony Miller,Wide Receiver,2018,2024
Arnold Miller,Defensive End,1999,2000
Bill Miller,Defensive Tackle,1962,1962
Bill Miller,Split End,1962,1968
Billy Miller,Tight End,1999,2008
Bing Miller,Tackle,1929,1931
Blake Miller,Wingback,1920,1921
Blake Miller,Center,1992,1992
Bob Miller,Defensive Tackle,1952,1958
Brandon Miller,Defensive End,2008,2008
Braxton Miller,Wide Receiver,2016,2017
Brett Miller,Tackle,1983,1992
Brit Miller,Linebacker,2009,2012
Bronzell Miller,Defensive End,1995,1995
Bruce Miller,Fullback,2011,2020
Bubba Miller,Center,1997,2000
Caleb Miller,Linebacker,2004,2007
Calvin Miller,Nose Tackle,1979,1980
Candy Miller,Tackle,1922,1923
Chris Miller,Quarterback,1987,1999
Christian Miller,Edge Rusher,2019,2019
Chuckie Miller,Defensive Back,1988,1988
Clark Miller,Defensive End,1962,1970
Clay Miller,Tackle,1987,1987
Cleo Miller,Running back,1974,1982
Corey Miller,Linebacker,1991,1999
Craig Miller,Defensive Back,2000,2000
Dan Miller,Kicker,1982,1982
Dante Miller,Running back,2024,2024
Darrian Miller,Tackle,2015,2015
Darrin Miller,Linebacker,1988,1989
Don Miller,Halfback,1925,1925
Don Miller,Halfback,1954,1954
Donald Miller,Linebacker,1990,1990
Doug Miller,Linebacker,1993,1994
Drew Miller,Center,2011,2011
Dub Miller,Guard,1935,1937
Dutch Miller,Center,1931,1931
Eddie Miller,Tailback,1939,1940
Eddie Miller,Wide Receiver,1992,1993
Fred Miller,Tackle,1955,1955
Fred Miller,Defensive Tackle,1963,1972
Fred Miller,Tackle,1996,2008
Gabe Miller,Outside Linebacker,2014,2014
Hal Miller,Tackle,1953,1953
Harlan Miller,Cornerback,2016,2018
Heath Miller,Tight End,2005,2015
Heinie Miller,End,1920,1925
Herb Miller,Defensive Back,2020,2022
Jamir Miller,Linebacker,1994,2001
Jim Miller,Halfback,1930,1930
Jim Miller,Guard,1971,1974
Jim Miller,Punter,1980,1987
Jim Miller,Quarterback,1995,2002
John Miller,Fullback,1921,1921
John Miller,Linebacker,1987,1987
John Miller,Defensive Back,1989,1990
John Miller,Offensive Guard,2015,2022
Johnny Miller,Tackle,1956,1960
Johnny Miller,Guard,1977,1977
Jordan Miller,Defensive Tackle,2012,2013
Jordan Miller,Cornerback,2019,2021
Josh Miller,Punter,1996,2007
Junior Miller,Tight End,1980,1984
Justin Miller,Defensive Back,2005,2012
Keith Miller,Linebacker,2000,2002
Kendre Miller,Running back,2023,2024
Kevin Miller,Wide Receiver,1978,1980
Kolton Miller,Offensive Tackle,2018,2024
Kyle Miller,Tight End,2012,2015
Lamar Miller,Running back,2012,2020
Larry Miller,Quarterback,1987,1987
Les Miller,Nose Tackle,1987,1998
Lonyae Miller,Running back,2010,2010
Mark Miller,Quarterback,1978,1979
Mark Miller,Quarterback,1987,1987
Matt Miller,Tackle,1979,1982
Mike Miller,Wide Receiver,1983,1985
Nate Miller,Guard,1997,1997
Nick Miller,Linebacker,1987,1987
Nick Miller,Wide Receiver,2010,2011
Ookie Miller,Center,1932,1938
