player_id,attempts,completions,yards,tds,ints,epa_per_db,cpoe,name,cmp_pct,ypa,rating,third_down_delta,clutch_att,clutch_cmp_pct,fourth_att,fourth_rate,season
00-0036945,270,159.0,1870.0,7.0,10.0,0.04015621748612975,-1.9522072597481739,J.Fields,58.88888888888889,6.925925925925926,73.22530864197532,-11.274911274911283,23.0,60.86956521739131,6.0,33.33333333333333,2021
00-0036971,602,359.0,3641.0,12.0,17.0,0.008730042578462577,-4.80008055031197,T.Lawrence,59.63455149501661,6.048172757475083,71.85769656699888,-14.105814739688988,43.0,55.81395348837209,23.0,60.86956521739131,2021
00-0036972,559,376.0,4033.0,24.0,15.0,0.20749412932039565,2.5354269332501476,M.Jones,67.26296958855099,7.214669051878354,91.32751937984494,-2.1837446698539793,30.0,60.0,14.0,64.28571428571429,2021
00-0037013,383,213.0,2334.0,9.0,11.0,-0.039365209611069533,-9.639359672701424,Z.Wilson,55.61357702349869,6.093994778067885,69.68559617058312,-7.0909090909090935,24.0,50.0,17.0,52.94117647058824,2021
00-0019596,799,525.0,5045.0,27.0,10.0,0.1292645264636363,-0.5665243816717217,T.Brady,65.70713391739675,6.314142678347935,89.19743429286609,-5.894154271878243,72.0,59.72222222222222,17.0,64.70588235294117,2022
00-0023459,542,350.0,3695.0,26.0,12.0,0.10965056754692698,0.5470411479473114,A.Rodgers,64.57564575645756,6.817343173431734,91.06703567035672,-5.021289654378769,39.0,56.41025641025641,18.0,33.33333333333333,2022
00-0026143,461,309.0,3057.0,14.0,13.0,0.10040799929961437,-0.09865554427231635,M.Ryan,67.02819956616052,6.631236442516269,83.94342010122921,8.357075023741686,71.0,63.38028169014085,8.0,50.0,2022
00-0026158,191,110.0,1051.0,5.0,3.0,0.004672501403635773,-4.0900764884529535,J.Flacco,57.59162303664922,5.50261780104712,75.18542757417103,4.735883424408016,21.0,57.14285714285714,6.0,50.0,2022
00-0026498,303,206.0,2087.0,10.0,8.0,0.10441363570089056,-0.03873855378982183,M.Stafford,67.98679867986799,6.887788778877888,87.43811881188118,-6.899350649350659,23.0,69.56521739130434,,,2022
00-0027973,378,252.0,2871.0,18.0,9.0,0.17570863891009064,0.6179992027662613,A.Dalton,66.66666666666666,7.595238095238095,95.23809523809523,-12.349081364829388,38.0,57.89473684210527,5.0,60.0,2022
00-0029263,483,292.0,3524.0,16.0,11.0,0.08074074871748967,-1.1704484370048875,R.Wilson,60.45548654244306,7.296066252587992,84.41597653554176,-4.403744403744405,67.0,64.17910447761194,9.0,33.33333333333333,2022
00-0029604,682,455.0,4820.0,31.0,14.0,0.17041396333338774,2.024650981793037,K.Cousins,66.71554252199414,7.067448680351906,93.72556207233626,-4.132177112074615,54.0,62.96296296296296,13.0,53.84615384615385,2022
00-0029701,325,212.0,2536.0,13.0,6.0,0.23508764881153957,0.5387725232151405,R.Tannehill,65.23076923076923,7.803076923076923,94.59615384615384,-6.905561776782378,29.0,82.75862068965517,,,2022
00-0030565,607,424.0,4535.0,32.0,12.0,0.19602971140906944,5.916229688877132,G.Smith,69.8517298187809,7.471169686985173,100.75851180669962,-11.065228138540732,41.0,58.536585365853654,14.0,57.14285714285714,2022
00-0031280,502,305.0,3522.0,24.0,14.0,0.14300779116528792,-2.8706469951065015,D.Carr,60.756972111553786,7.01593625498008,86.26328021248341,-2.1934197407776637,64.0,50.0,11.0,72.72727272727273,2022
00-0031345,308,207.0,2437.0,16.0,4.0,0.3508002081392781,-1.0454820067274804,J.Garoppolo,67.20779220779221,7.912337662337662,102.96266233766234,-10.969793322734503,28.0,50.0,,,2022
00-0031800,259,161.0,1859.0,12.0,6.0,0.12916268782067664,1.7015570782339622,T.Heinicke,62.16216216216216,7.177606177606178,89.58333333333334,-15.694519804666292,39.0,53.84615384615385,5.0,60.0,2022
00-0032268,300,184.0,2219.0,15.0,9.0,0.17946489088933654,-0.64611305450571,M.Mariota,61.33333333333333,7.3966666666666665,88.18055555555556,-7.679012345679013,30.0,40.0,,,2022
00-0032950,276,172.0,1755.0,11.0,9.0,0.03371497770648052,-3.7503710554705725,C.Wentz,62.31884057971014,6.358695652173913,80.20833333333334,3.062806926854492,19.0,47.368421052631575,6.0,16.666666666666664,2022
00-0033077,464,309.0,3371.0,28.0,17.0,0.20269205356635844,0.5405766860922264,D.Prescott,66.59482758620689,7.265086206896552,92.69935344827586,-13.35320417287631,48.0,54.166666666666664,,,2022
00-0033106,587,382.0,4438.0,29.0,7.0,0.25879258688786144,-1.484926882799834,J.Goff,65.07666098807495,7.560477001703577,99.31501987507097,2.1569334294640683,47.0,63.829787234042556,23.0,47.82608695652174,2022
00-0033119,369,236.0,2608.0,12.0,6.0,0.18320303432669374,2.8882097527172492,J.Brissett,63.956639566395665,7.067750677506775,88.89453477868113,-10.186440677966104,51.0,47.05882352941176,14.0,35.714285714285715,2022
00-0033537,170,99.0,1102.0,7.0,5.0,0.013264692860393263,-3.3266800065194406,D.Watson,58.235294117647065,6.482352941176471,79.09313725490196,-15.679214402618655,17.0,41.17647058823529,6.0,50.0,2022
00-0033662,162,94.0,1051.0,5.0,3.0,0.02126663087039389,-6.849936818241313,C.Rush,58.0246913580247,6.487654320987654,80.0411522633745,-23.557692307692307,,,7.0,57.14285714285714,2022
00-0033869,180,117.0,1252.0,4.0,5.0,0.12653868642034086,1.608036702635598,M.Trubisky,65.0,6.955555555555556,81.06481481481481,-4.0625,25.0,48.0,,,2022
00-0033873,748,507.0,5953.0,48.0,12.0,0.3614058668538431,4.100697769763622,P.Mahomes,67.7807486631016,7.958556149732621,106.43382352941175,-10.840408514827132,61.0,59.01639344262295,8.0,75.0,2022
00-0034401,175,103.0,1192.0,3.0,4.0,0.023768447389294175,-6.184591097239206,M.White,58.857142857142854,6.811428571428571,75.70238095238095,1.7021276595744652,17.0,41.17647058823529,7.0,14.285714285714285,2022
00-0034796,326,203.0,2242.0,17.0,7.0,0.13770395461551346,-0.617372073401911,L.Jackson,62.26993865030674,6.877300613496932,91.0659509202454,-14.850341948663292,27.0,51.85185185185185,,,2022
00-0034855,335,201.0,2163.0,10.0,8.0,0.03526364747988144,-7.015253307286256,B.Mayfield,60.0,6.456716417910448,78.98631840796021,1.7055988134964792,27.0,55.55555555555556,6.0,66.66666666666666,2022
00-0034857,648,407.0,4899.0,38.0,17.0,0.2457765904012689,1.271570554294064,J.Allen,62.808641975308646,7.560185185185185,94.5408950617284,-7.470710961322425,85.0,61.1764705882353,11.0,27.27272727272727,2022
00-0035228,390,259.0,2368.0,14.0,7.0,0.05877817184943404,-0.8062973137824766,K.Murray,66.41025641025641,6.0717948717948715,87.21153846153845,-16.740162822252387,43.0,51.162790697674424,17.0,35.294117647058826,2022
00-0035710,534,356.0,3641.0,17.0,6.0,0.17161940815122342,1.4272528874921608,D.Jones,66.66666666666666,6.818352059925093,91.97877652933832,-11.989389920424394,51.0,56.86274509803921,10.0,20.0,2022
00-0036212,400,259.0,3548.0,25.0,8.0,0.3452451940469792,1.432570229821119,T.Tagovailoa,64.75,8.87,105.5,-8.10827475644345,25.0,72.0,7.0,57.14285714285714,2022
00-0036355,742,502.0,5012.0,26.0,10.0,0.13979339864165077,0.7787719909283572,J.Herbert,67.65498652291106,6.754716981132075,92.67183288409703,-5.936346403272466,90.0,64.44444444444444,19.0,47.368421052631575,2022
00-0036389,547,364.0,4280.0,25.0,6.0,0.2866442139196787,2.889977628995648,J.Hurts,66.54478976234005,7.824497257769653,100.80362583790372,-4.057971014492736,33.0,63.63636363636363,11.0,63.63636363636363,2022
00-0036442,715,486.0,5196.0,39.0,14.0,0.2692830924577542,3.109197187009665,J.Burrow,67.97202797202797,7.267132867132867,99.02972027972027,-4.399852724594993,49.0,55.10204081632652,8.0,25.0,2022
00-0036898,479,292.0,3118.0,17.0,15.0,-0.0253777363600276,-3.776847637111631,D.Mills,60.96033402922756,6.509394572025053,78.78827418232429,-10.827067669172926,44.0,56.81818181818182,14.0,50.0,2022
00-0036945,318,192.0,2242.0,17.0,11.0,0.06774153366844464,-2.4806598871454546,J.Fields,60.37735849056604,7.050314465408805,85.1808176100629,-1.2434782608695727,27.0,51.85185185185185,10.0,10.0,2022
00-0036971,670,439.0,4618.0,30.0,13.0,0.20730163727867815,0.612604673432861,T.Lawrence,65.5223880597015,6.892537313432836,92.24502487562191,-5.34345445495272,67.0,55.223880597014926,16.0,56.25,2022
00-0036972,442,288.0,2997.0,14.0,11.0,0.07301993974376704,-0.4410114771914932,M.Jones,65.15837104072398,6.780542986425339,84.82277526395174,-6.25,40.0,57.49999999999999,10.0,50.0,2022
00-0037013,242,132.0,1688.0,6.0,7.0,0.007587005139845177,-5.555372587426215,Z.Wilson,54.54545454545454,6.975206611570248,72.8133608815427,-9.574297188755018,38.0,55.26315789473685,6.0,50.0,2022
00-0037327,150,78.0,754.0,2.0,5.0,-0.15228885434332903,-8.726536461585004,S.Thompson,52.0,5.026666666666666,56.91666666666667,-7.374768089053795,,,6.0,33.33333333333333,2022
00-0037834,233,155.0,1943.0,16.0,4.0,0.3706023857483507,0.9801702916354876,B.Purdy,66.52360515021459,8.339055793991417,108.00250357653793,7.415519399249057,31.0,54.83870967741935,,,2022
00-0038102,389,245.0,2404.0,7.0,9.0,0.08392573569000038,0.8181290695983866,K.Pickett,62.98200514138818,6.179948586118252,76.67630676949443,-4.367760617760624,36.0,58.333333333333336,7.0,42.857142857142854,2022
00-0026158,250,157.0,1923.0,14.0,10.0,0.017498194599481237,-1.350963885585467,J.Flacco,62.8,7.692,88.46666666666665,-10.641025641025642,16.0,62.5,10.0,50.0,2023
00-0026498,557,351.0,4332.0,26.0,11.0,0.22412594526969673,-1.9457726825613155,M.Stafford,63.016157989228006,7.77737881508079,94.33348294434471,-3.222778473091367,56.0,60.71428571428571,8.0,75.0,2023
00-0028118,180,116.0,1341.0,5.0,3.0,0.14586310399410915,4.384998795462818,T.Taylor,64.44444444444444,7.45,89.14351851851853,-8.07453416149069,36.0,47.22222222222222,5.0,40.0,2023
00-0029263,447,297.0,3070.0,26.0,8.0,0.15951140174589848,4.853044374879584,R.Wilson,66.44295302013423,6.868008948545861,98.00055928411633,-1.3069908814589724,63.0,61.904761904761905,,,2023
00-0029604,311,216.0,2331.0,18.0,5.0,0.23719500043043854,4.28785780901151,K.Cousins,69.45337620578779,7.495176848874598,103.78483386923902,-2.0913770913770833,48.0,70.83333333333334,10.0,70.0,2023
00-0029701,230,149.0,1616.0,4.0,7.0,0.11024810594817962,1.0427043244645402,R.Tannehill,64.78260869565217,7.026086956521739,78.46014492753622,-3.440116490717152,17.0,64.70588235294117,5.0,80.0,2023
00-0030565,499,323.0,3624.0,20.0,9.0,0.17470222007756878,2.444135994350506,G.Smith,64.72945891783567,7.2625250501002006,92.13009352037407,-11.593612212382823,82.0,56.09756097560976,7.0,28.57142857142857,2023
00-0031280,548,375.0,3878.0,25.0,8.0,0.15695796515598975,3.0327578889024416,D.Carr,68.43065693430657,7.076642335766423,97.71897810218978,-16.845878136200724,42.0,50.0,8.0,25.0,2023
00-0031345,169,110.0,1205.0,7.0,9.0,0.0495330905205438,-1.94589148868214,J.Garoppolo,65.08875739644971,7.1301775147929,77.65039447731755,-8.168498168498168,15.0,46.666666666666664,5.0,40.0,2023
00-0032156,153,86.0,724.0,2.0,4.0,-0.26224709993078427,-8.928197042809593,T.Siemian,56.209150326797385,4.73202614379085,62.105119825708066,-20.310421286031044,12.0,33.33333333333333,,,2023
00-0033077,650,451.0,4919.0,39.0,11.0,0.29633402939313397,3.8448000947634378,D.Prescott,69.38461538461539,7.567692307692307,104.38461538461539,-3.5032796660703553,43.0,62.7906976744186,14.0,50.0,2023
00-0033106,716,484.0,5412.0,34.0,12.0,0.24654743209127358,1.349194304095841,J.Goff,67.59776536312849,7.558659217877095,98.75465549348232,-1.1712782210151147,64.0,68.75,31.0,41.935483870967744,2023
00-0033537,171,105.0,1115.0,7.0,4.0,0.05932324292322961,-0.32609927834886493,D.Watson,61.40350877192983,6.52046783625731,84.32017543859651,-0.3561253561253608,17.0,35.294117647058826,,,2023
00-0033873,746,505.0,5234.0,33.0,15.0,0.19092973606890734,3.8664558980104733,P.Mahomes,67.69436997319035,7.016085790884718,94.09629133154603,-3.927560837577815,79.0,63.29113924050633,12.0,33.33333333333333,2023
00-0033949,417,262.0,2464.0,13.0,10.0,-0.021666849464730867,-1.7743371015218035,J.Dobbs,62.829736211031175,5.908872901678657,79.46143085531574,-3.9543937708565053,43.0,48.837209302325576,14.0,21.428571428571427,2023
00-0034796,516,343.0,4102.0,27.0,8.0,0.2737748174258521,3.1905671972180567,L.Jackson,66.47286821705426,7.949612403100775,101.58268733850132,-14.45460277427491,57.0,57.89473684210527,5.0,40.0,2023
00-0034855,643,412.0,4730.0,34.0,12.0,0.23381907426728663,-0.20177963270635083,B.Mayfield,64.0746500777605,7.356143079315707,95.97913426645931,-3.33950046253468,69.0,63.76811594202898,11.0,54.54545454545454,2023
00-0034857,648,432.0,4695.0,33.0,18.0,0.21764926373491428,4.465782111571505,J.Allen,66.66666666666666,7.24537037037037,93.22916666666666,-16.87301587301588,59.0,55.932203389830505,11.0,45.45454545454545,2023
00-0035100,243,171.0,1936.0,12.0,7.0,0.2342107311432603,3.8662562831344767,J.Browning,70.37037037037037,7.967078189300412,98.37962962962963,-7.826086956521735,24.0,45.83333333333333,5.0,40.0,2023
00-0035228,268,176.0,1799.0,10.0,5.0,0.04344049637184752,-2.2770895928371955,K.Murray,65.67164179104478,6.712686567164179,89.443407960199,1.4492753623188577,24.0,58.333333333333336,11.0,45.45454545454545,2023
00-0035282,174,111.0,1129.0,3.0,1.0,0.07574398439383599,-4.807692722103299,E.Stick,63.793103448275865,6.488505747126437,85.63218390804597,-9.090909090909093,15.0,53.333333333333336,5.0,60.0,2023
00-0035289,490,305.0,3305.0,15.0,9.0,0.12659669736738713,-3.276565049284248,G.Minshew,62.244897959183675,6.744897959183674,84.60884353741497,-1.314581218887433,43.0,51.162790697674424,21.0,52.38095238095239,2023
00-0035710,160,108.0,909.0,2.0,6.0,-0.09968568725809983,0.2796642628370547,D.Jones,67.5,5.68125,70.54687500000001,1.538461538461533,,,5.0,60.0,2023
00-0036212,599,408.0,4823.0,30.0,15.0,0.26990579300217815,3.1497144914535156,T.Tagovailoa,68.11352253756262,8.051752921535893,98.65400667779633,-6.979546091342115,60.0,75.0,17.0,47.05882352941176,2023
00-0036264,634,409.0,4625.0,37.0,13.0,0.24467638279455703,1.4023907373235431,J.Love,64.51104100946372,7.294952681388013,97.14773922187172,-11.864406779661024,66.0,51.515151515151516,18.0,55.55555555555556,2023
00-0036355,456,297.0,3134.0,20.0,7.0,0.17470934048301492,-0.3111262051031229,J.Herbert,65.13157894736842,6.87280701754386,93.22002923976608,-15.757575757575758,47.0,65.95744680851064,14.0,50.0,2023
00-0036389,573,377.0,4108.0,24.0,15.0,0.1970483725265602,4.140682781773402,J.Hurts,65.79406631762653,7.169284467713787,89.83784176847004,5.202957176733165,45.0,51.11111111111111,13.0,46.15384615384615,2023
00-0036442,365,244.0,2309.0,15.0,6.0,0.14587473266496376,1.2337517067577763,J.Burrow,66.84931506849315,6.326027397260274,90.9988584474886,0.8763693270735615,23.0,60.86956521739131,5.0,60.0,2023
00-0036945,370,227.0,2562.0,16.0,9.0,0.11828619199262608,0.7927931911122482,J.Fields,61.35135135135135,6.924324324324324,86.34009009009009,0.5636070853462058,29.0,44.827586206896555,8.0,50.0,2023
00-0036971,564,370.0,4016.0,21.0,14.0,0.14132961848761763,0.9032510841886202,T.Lawrence,65.60283687943263,7.120567375886525,88.48995271867612,-5.197401299350339,27.0,62.96296296296296,13.0,30.76923076923077,2023
00-0036972,345,224.0,2120.0,10.0,12.0,-0.05538840915360574,-2.8927735786522386,M.Jones,64.92753623188405,6.144927536231884,76.96256038647343,-20.29335912314636,32.0,56.25,10.0,30.0,2023
